date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-25 19:46:00+00:00,0.4062,0.4062,0.4062,0.4062,0.4062,400.0,1.0,0.4062
2023-01-25 20:00:00+00:00,0.4099,0.4099,0.4099,0.4099,0.4099,940.0,1.0,0.4099
2023-01-25 20:05:00+00:00,0.4081,0.4082,0.4081,0.4082,0.4082,500.0,5.0,0.40818
2023-01-25 20:06:00+00:00,0.4081,0.4081,0.4081,0.4081,0.4081,383.0,4.0,0.408317
2023-01-25 20:13:00+00:00,0.4099,0.4099,0.4099,0.4099,0.4099,1000.0,5.0,0.4099
2023-01-25 20:21:00+00:00,0.4098,0.4098,0.4062,0.4081,0.4081,3052.0,5.0,0.406679
2023-01-25 20:24:00+00:00,0.4083,0.4083,0.4083,0.4083,0.4083,100.0,1.0,0.4083
2023-01-25 20:37:00+00:00,0.41,0.41,0.41,0.41,0.41,243.0,1.0,0.41
2023-01-25 20:39:00+00:00,0.409899,0.409899,0.409899,0.409899,0.409899,100.0,1.0,0.409899
2023-01-25 20:46:00+00:00,0.4082,0.409867,0.4082,0.409867,0.409867,1000.0,4.0,0.409514
2023-01-25 20:52:00+00:00,0.409899,0.409899,0.4085,0.4085,0.4085,1900.0,4.0,0.408574
2023-01-25 20:54:00+00:00,0.4083,0.4083,0.4083,0.4083,0.4083,130.0,2.0,0.407908
2023-01-25 20:56:00+00:00,0.4098,0.4098,0.4098,0.4098,0.4098,300.0,1.0,0.4098
2023-01-25 20:58:00+00:00,0.4066,0.4085,0.4062,0.4062,0.4062,1939.0,26.0,0.406731
2023-01-25 20:59:00+00:00,0.4099,0.4099,0.4099,0.4099,0.4099,318.0,2.0,0.4099
2023-01-25 21:08:00+00:00,0.4098,0.4098,0.4098,0.4098,0.4098,600.0,1.0,0.4098
2023-01-25 21:23:00+00:00,0.4062,0.4062,0.4062,0.4062,0.4062,820.0,1.0,0.4062
2023-01-25 23:05:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,5000.0,2.0,0.4186
2023-01-26 00:30:00+00:00,0.414,0.414,0.414,0.414,0.414,200.0,2.0,0.414
2023-01-26 13:00:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,1000.0,1.0,0.4186
2023-01-26 13:14:00+00:00,0.41,0.41,0.41,0.41,0.41,2474.0,1.0,0.41
2023-01-26 14:05:00+00:00,0.4105,0.4105,0.4105,0.4105,0.4105,291.0,1.0,0.4105
2023-01-26 14:10:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,750.0,1.0,0.4186
2023-01-26 14:12:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,260.0,2.0,0.4186
2023-01-26 14:13:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,3300.0,5.0,0.4186
2023-01-26 14:30:00+00:00,0.4186,0.4186,0.4186,0.4186,0.4186,637.0,7.0,0.418602
2023-01-26 14:31:00+00:00,0.4105,0.4105,0.41,0.41,0.41,4101.0,9.0,0.410061
2023-01-26 14:33:00+00:00,0.4105,0.4105,0.4105,0.4105,0.4105,323.0,3.0,0.409303
